run,trajectory,pass,cycle,step,local_step,total_steps,lr,lr_multiplier,weight_decay_multiplier,distill,reward
baseline,,1,,1,1,128,5e-06,1.000000,,,0.045000
baseline,,1,,2,2,128,4.999e-06,0.999800,,,0.045000
baseline,,1,,3,3,128,4.997e-06,0.999400,,,0.031000
baseline,,1,,4,4,128,4.993e-06,0.998600,,,0.045000
baseline,,1,,5,5,128,4.988e-06,0.997600,,,0.036000
baseline,,1,,6,6,128,4.981e-06,0.996200,,,0.034000
baseline,,1,,7,7,128,4.973e-06,0.994600,,,0.033000
baseline,,1,,8,8,128,4.963e-06,0.992600,,,0.054000
baseline,,1,,9,9,128,4.951e-06,0.990200,,,0.038000
baseline,,1,,10,10,128,4.938e-06,0.987600,,,0.039000
baseline,,1,,11,11,128,4.924e-06,0.984800,,,0.036000
baseline,,1,,12,12,128,4.908e-06,0.981600,,,0.041000
baseline,,1,,13,13,128,4.891e-06,0.978200,,,0.039000
baseline,,1,,14,14,128,4.872e-06,0.974400,,,0.039000
baseline,,1,,15,15,128,4.852e-06,0.970400,,,0.041000
baseline,,1,,16,16,128,4.83e-06,0.966000,,,0.044000
baseline,,1,,17,17,128,4.807e-06,0.961400,,,0.038000
baseline,,1,,18,18,128,4.782e-06,0.956400,,,0.041000
baseline,,1,,19,19,128,4.756e-06,0.951200,,,0.038000
baseline,,1,,20,20,128,4.729e-06,0.945800,,,0.041000
baseline,,1,,21,21,128,4.7e-06,0.940000,,,0.038000
baseline,,1,,22,22,128,4.67e-06,0.934000,,,0.053000
baseline,,1,,23,23,128,4.639e-06,0.927800,,,0.033000
baseline,,1,,24,24,128,4.606e-06,0.921200,,,0.036000
baseline,,1,,25,25,128,4.572e-06,0.914400,,,0.043000
baseline,,1,,26,26,128,4.537e-06,0.907400,,,0.048000
baseline,,1,,27,27,128,4.501e-06,0.900200,,,0.035000
baseline,,1,,28,28,128,4.463e-06,0.892600,,,0.045000
baseline,,1,,29,29,128,4.424e-06,0.884800,,,0.032000
baseline,,1,,30,30,128,4.384e-06,0.876800,,,0.036000
baseline,,1,,31,31,128,4.343e-06,0.868600,,,0.040000
baseline,,1,,32,32,128,4.3e-06,0.860000,,,0.047000
baseline,,2,,33,1,128,4.257e-06,0.851400,,,0.060000
baseline,,2,,34,2,128,4.212e-06,0.842400,,,0.041000
baseline,,2,,35,3,128,4.167e-06,0.833400,,,0.071000
baseline,,2,,36,4,128,4.12e-06,0.824000,,,0.050000
baseline,,2,,37,5,128,4.072e-06,0.814400,,,0.032000
baseline,,2,,38,6,128,4.024e-06,0.804800,,,0.049000
baseline,,2,,39,7,128,3.974e-06,0.794800,,,0.040000
baseline,,2,,40,8,128,3.924e-06,0.784800,,,0.042000
baseline,,2,,41,9,128,3.873e-06,0.774600,,,0.052000
baseline,,2,,42,10,128,3.821e-06,0.764200,,,0.033000
baseline,,2,,43,11,128,3.768e-06,0.753600,,,0.048000
baseline,,2,,44,12,128,3.714e-06,0.742800,,,0.030000
baseline,,2,,45,13,128,3.66e-06,0.732000,,,0.031000
baseline,,2,,46,14,128,3.605e-06,0.721000,,,0.041000
baseline,,2,,47,15,128,3.549e-06,0.709800,,,0.054000
baseline,,2,,48,16,128,3.492e-06,0.698400,,,0.037000
baseline,,2,,49,17,128,3.435e-06,0.687000,,,0.048000
baseline,,2,,50,18,128,3.378e-06,0.675600,,,0.042000
baseline,,2,,51,19,128,3.319e-06,0.663800,,,0.064000
baseline,,2,,52,20,128,3.261e-06,0.652200,,,0.045000
baseline,,2,,53,21,128,3.202e-06,0.640400,,,0.056000
baseline,,2,,54,22,128,3.142e-06,0.628400,,,0.050000
baseline,,2,,55,23,128,3.082e-06,0.616400,,,0.035000
baseline,,2,,56,24,128,3.022e-06,0.604400,,,0.042000
baseline,,2,,57,25,128,2.961e-06,0.592200,,,0.050000
baseline,,2,,58,26,128,2.9e-06,0.580000,,,0.038000
baseline,,2,,59,27,128,2.839e-06,0.567800,,,0.043000
