dataset,split,count,method,metric,value,source,status
Q0 mixture,training,,q0_k1,fit_loss,0.6394162774085999,runs/q0_qwen1_5b_laptop/mixture_weights.json,available
Q0 mixture,training,,q0_k2,fit_loss,0.6394162774085999,runs/q0_qwen1_5b_laptop/mixture_weights.json,available
Q0 mixture,training,,q0_k3,fit_loss,0.6394162774085999,runs/q0_qwen1_5b_laptop/mixture_weights.json,available
Q0 mixture,training,,q0_k4,fit_loss,0.6394162774085999,runs/q0_qwen1_5b_laptop/mixture_weights.json,available
Q0 mixture,training,,q0_k8,fit_loss,0.6394162774085999,runs/q0_qwen1_5b_laptop/mixture_weights.json,available
training,steps,256,mopd_t1,loss,0.001142724882811308,runs/mopd_qwen1_5b_laptop/training_metrics.jsonl,available
training,steps,256,mopd_t1,lr,0.0,runs/mopd_qwen1_5b_laptop/training_metrics.jsonl,available
training,steps,256,mopd_t1,avg_response_length,74.0,runs/mopd_qwen1_5b_laptop/training_metrics.jsonl,available
training,steps,256,mopd_t1,completion_tokens,64036,runs/mopd_qwen1_5b_laptop/training_metrics.jsonl,available
training,steps,256,mopd_t2,loss,0.005995852407068014,runs/mopd_qwen1_5b_laptop_t2/training_metrics.jsonl,available
training,steps,256,mopd_t2,lr,0.0,runs/mopd_qwen1_5b_laptop_t2/training_metrics.jsonl,available
training,steps,256,mopd_t2,avg_response_length,66.0,runs/mopd_qwen1_5b_laptop_t2/training_metrics.jsonl,available
training,steps,256,mopd_t2,completion_tokens,64584,runs/mopd_qwen1_5b_laptop_t2/training_metrics.jsonl,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_1,0.4560546875,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_4,0.7315290178571427,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_8,0.828125,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_1,0.94140625,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_4,0.9994977678571428,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_8,1.0,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_1,0.4384765625,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_4,0.7276785714285712,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_8,0.82421875,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_1,0.94091796875,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_4,0.9988281250000002,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_8,1.0,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_1,0.451171875,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_4,0.7311941964285715,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_8,0.8203125,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_1,0.94970703125,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_4,0.9983816964285714,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,parse_at_8,1.0,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_1,0.443359375,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_4,0.7246093749999996,runs/mopd_qwen1_5b_laptop/validation_results.json,available
GSM8K,train_val_slice,256,MOPD t=1,pass_at_8,0.81640625,runs/mopd_qwen1_5b_laptop/validation_results.json,available
